filename,width,height,class,xmin,ymin,xmax,ymax
000_1ov3n5_0_jpeg.rf.c8dd5ec19ddf8698f0bd7974750bbf59.jpg,512,512,mask,220,7,342,201
001_1024_jpeg.rf.c54fd42f7b2c5d37fdfd4f28ac2462af.jpg,512,512,mask,479,251,511,357
001_1024_jpeg.rf.c54fd42f7b2c5d37fdfd4f28ac2462af.jpg,512,512,mask,431,305,487,402
001_1024_jpeg.rf.c54fd42f7b2c5d37fdfd4f28ac2462af.jpg,512,512,mask,369,234,452,357
001_1024_jpeg.rf.c54fd42f7b2c5d37fdfd4f28ac2462af.jpg,512,512,mask,127,1,251,190
001_1024_jpeg.rf.c54fd42f7b2c5d37fdfd4f28ac2462af.jpg,512,512,mask,289,106,383,275
soo-1-_jpg.rf.c34d84215b7bd23d4825e01ae4f788f6.jpg,512,512,mask,387,247,419,300
soo-1-_jpg.rf.c34d84215b7bd23d4825e01ae4f788f6.jpg,512,512,no-mask,413,209,449,266
soo-1-_jpg.rf.c34d84215b7bd23d4825e01ae4f788f6.jpg,512,512,no-mask,469,212,508,285
soo-1-_jpg.rf.c34d84215b7bd23d4825e01ae4f788f6.jpg,512,512,mask,277,76,330,170
soo-1-_jpg.rf.c34d84215b7bd23d4825e01ae4f788f6.jpg,512,512,mask,164,67,239,172
soo-1-_jpg.rf.c34d84215b7bd23d4825e01ae4f788f6.jpg,512,512,mask,75,79,141,185
1579928067_250120120154270000005e2bca03bf464_jpg.rf.cf6936786ca766eeb38bf5dee52cd80b.jpg,512,512,mask,446,25,487,90
1579928067_250120120154270000005e2bca03bf464_jpg.rf.cf6936786ca766eeb38bf5dee52cd80b.jpg,512,512,mask,389,7,428,71
1579928067_250120120154270000005e2bca03bf464_jpg.rf.cf6936786ca766eeb38bf5dee52cd80b.jpg,512,512,mask,10,4,46,59
1579928067_250120120154270000005e2bca03bf464_jpg.rf.cf6936786ca766eeb38bf5dee52cd80b.jpg,512,512,mask,58,0,127,92
1579928067_250120120154270000005e2bca03bf464_jpg.rf.cf6936786ca766eeb38bf5dee52cd80b.jpg,512,512,no-mask,341,55,360,92
1579928067_250120120154270000005e2bca03bf464_jpg.rf.cf6936786ca766eeb38bf5dee52cd80b.jpg,512,512,no-mask,281,44,300,80
1249493_jpg.rf.c787e608121686af2ff6c1f78924d6e4.jpg,512,512,no-mask,187,65,216,123
1249493_jpg.rf.c787e608121686af2ff6c1f78924d6e4.jpg,512,512,mask,116,52,150,126
1249493_jpg.rf.c787e608121686af2ff6c1f78924d6e4.jpg,512,512,mask,140,48,184,148
1249493_jpg.rf.c787e608121686af2ff6c1f78924d6e4.jpg,512,512,mask,284,54,328,129
1249493_jpg.rf.c787e608121686af2ff6c1f78924d6e4.jpg,512,512,mask,444,20,505,129
Surgical-Mask-Effectiveness_jpg.rf.c9aee41cc984c12e98dd0fb4e68c3475.jpg,512,512,mask,232,35,474,511
Surgical-Mask-Effectiveness_jpg.rf.c9aee41cc984c12e98dd0fb4e68c3475.jpg,512,512,mask,40,60,273,511
TB2R28UvUOWBKNjSZKzXXXfWFXa_--1116877752_jpg.rf.c9f4131812395d1d3f41a58233cafa9f.jpg,512,512,mask,368,13,511,272
TB2R28UvUOWBKNjSZKzXXXfWFXa_--1116877752_jpg.rf.c9f4131812395d1d3f41a58233cafa9f.jpg,512,512,mask,58,2,338,197
0002526673_jpg.rf.cfeff0f64a1377e0890d468009942bcd.jpg,512,512,mask,95,188,124,233
0002526673_jpg.rf.cfeff0f64a1377e0890d468009942bcd.jpg,512,512,mask,231,128,316,270
012106_jpg_1140x855_jpg.rf.c31866ae5d4a1a12d05ee987289b320b.jpg,512,512,mask,0,0,190,316
so-19-_jpg.rf.ca628160f6c32b29c6d085fddfa47f3c.jpg,512,512,mask,434,186,509,341
so-19-_jpg.rf.ca628160f6c32b29c6d085fddfa47f3c.jpg,512,512,mask,251,108,327,219
so-19-_jpg.rf.ca628160f6c32b29c6d085fddfa47f3c.jpg,512,512,mask,74,195,147,285
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.d0d29ea11a99b7c43470a7858b8e6879.jpg,512,512,mask,321,199,428,400
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.d0d29ea11a99b7c43470a7858b8e6879.jpg,512,512,mask,206,146,319,342
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.d0d29ea11a99b7c43470a7858b8e6879.jpg,512,512,mask,47,131,158,338
Surgical-Mask-Effectiveness_jpg.rf.d3994dcd20b17da33775978586414343.jpg,512,512,mask,0,0,252,510
Surgical-Mask-Effectiveness_jpg.rf.d3994dcd20b17da33775978586414343.jpg,512,512,mask,188,47,477,511
11893820-3x2-xlarge_jpg.rf.cf9af1971b72f66653d385b8cdfb5ca5.jpg,512,512,mask,244,6,322,108
11893820-3x2-xlarge_jpg.rf.cf9af1971b72f66653d385b8cdfb5ca5.jpg,512,512,no-mask,162,289,259,487
11893820-3x2-xlarge_jpg.rf.cf9af1971b72f66653d385b8cdfb5ca5.jpg,512,512,mask,482,11,499,74
11893820-3x2-xlarge_jpg.rf.cf9af1971b72f66653d385b8cdfb5ca5.jpg,512,512,mask,0,120,52,251
11893820-3x2-xlarge_jpg.rf.cf9af1971b72f66653d385b8cdfb5ca5.jpg,512,512,no-mask,90,95,162,212
11893820-3x2-xlarge_jpg.rf.cf9af1971b72f66653d385b8cdfb5ca5.jpg,512,512,no-mask,23,25,84,133
